Users,Categories,Descriptions,Cost,Dates
User1,['Technology'],['Tablet'],400.0,2025-07-20
User1,['Travel'],['Hotel booking'],450.0,2025-07-22
User1,['Work & Business'],['Software license'],240.0,2025-07-24
User1,['Other'],['Misc expense'],75.0,2025-07-27
User1,['Housing'],['Monthly rent'],880.0,2025-08-08
User1,['Food'],['Groceries'],300.0,2025-08-10
User1,['Transportation'],['Gas refill'],105.0,2025-08-12
User1,['Bills & Financial'],['Electricity bill'],130.0,2025-08-14
User1,['Health'],['Doctor visit'],150.0,2025-08-16
User1,['Entertainment'],['Streaming'],35.0,2025-08-18
User1,['Technology'],['Router'],120.0,2025-08-20
User1,['Education'],['Books'],160.0,2025-08-22
User1,['Personal'],['Clothes'],170.0,2025-08-24
User1,['Other'],['Gift'],110.0,2025-08-27
User1,['Housing'],['Monthly rent'],900.0,2025-09-08
User1,['Food'],['Groceries'],310.0,2025-09-10
User1,['Transportation'],['Gas refill'],110.0,2025-09-12
User1,['Bills & Financial'],['Electricity bill'],135.0,2025-09-14
User1,['Health'],['Pharmacy'],65.0,2025-09-16
User1,['Entertainment'],['Cinema'],50.0,2025-09-18
User1,['Technology'],['Software subscription'],30.0,2025-09-20
User1,['Travel'],['Weekend trip'],380.0,2025-09-22
User1,['Work & Business'],['Office supplies'],140.0,2025-09-24
User1,['Other'],['Misc expense'],85.0,2025-09-27
User1,['Housing'],['Monthly rent'],900.0,2025-10-08
User1,['Food'],['Groceries'],320.0,2025-10-10
User1,['Transportation'],['Taxi'],95.0,2025-10-12
User1,['Bills & Financial'],['Water bill'],60.0,2025-10-14
User1,['Health'],['Doctor visit'],160.0,2025-10-16
User1,['Entertainment'],['Concert'],210.0,2025-10-18
User1,['Technology'],['SSD upgrade'],180.0,2025-10-20
User1,['Education'],['Exam fee'],170.0,2025-10-22
User1,['Personal'],['Shoes'],150.0,2025-10-24
User1,['Other'],['Donation'],95.0,2025-10-27
User1,['Housing'],['Monthly rent'],900.0,2025-11-08
User1,['Food'],['Groceries'],330.0,2025-11-10
User1,['Transportation'],['Bus pass'],65.0,2025-11-12
User1,['Bills & Financial'],['Insurance'],230.0,2025-11-14
User1,['Health'],['Medical tests'],180.0,2025-11-16
User1,['Entertainment'],['Streaming'],40.0,2025-11-18
User1,['Technology'],['Keyboard'],110.0,2025-11-20
User1,['Travel'],['Flight ticket'],540.0,2025-11-22
User1,['Work & Business'],['Software license'],260.0,2025-11-24
User1,['Other'],['Repair'],105.0,2025-11-27
User1,['Housing'],['Monthly rent'],900.0,2025-12-08
User1,['Food'],['Groceries'],340.0,2025-12-10
User1,['Transportation'],['Gas refill'],115.0,2025-12-12
User1,['Bills & Financial'],['Internet bill'],70.0,2025-12-14
User1,['Health'],['Doctor visit'],170.0,2025-12-16
User1,['Entertainment'],['New year event'],300.0,2025-12-18
User1,['Technology'],['Smartwatch'],280.0,2025-12-20
User1,['Education'],['Course'],240.0,2025-12-22
User1,['Personal'],['Winter coat'],190.0,2025-12-24
User1,['Other'],['Gift'],130.0,2025-12-27
User1,['Housing'],['Monthly rent'],920.0,2026-01-08
User1,['Food'],['Groceries'],350.0,2026-01-10
User1,['Transportation'],['Taxi'],100.0,2026-01-12
User1,['Bills & Financial'],['Electricity bill'],140.0,2026-01-14
User1,['Health'],['Gym membership'],200.0,2026-01-16
User1,['Entertainment'],['Cinema'],55.0,2026-01-18
User1,['Technology'],['Laptop accessories'],220.0,2026-01-20
User1,['Travel'],['Hotel booking'],480.0,2026-01-22
User1,['Work & Business'],['Office chair'],280.0,2026-01-24
User1,['Other'],['Misc expense'],95.0,2026-01-27
User1,['Housing'],['Monthly rent'],920.0,2026-02-08
User1,['Food'],['Groceries'],360.0,2026-02-10
User1,['Transportation'],['Gas refill'],120.0,2026-02-12
User1,['Bills & Financial'],['Water bill'],75.0,2026-02-14
User1,['Health'],['Pharmacy'],70.0,2026-02-16
User1,['Entertainment'],['Streaming'],45.0,2026-02-17
User1,['Food'],['Restaurants'],4.66,2026-03-01
User1,['Food'],['Fries'],1.23,2026-03-02
